image_id,domain,split,image_path
00001,A (Monet Painting),train,trainA/00001.jpg
00003,A (Monet Painting),train,trainA/00003.jpg
00004,A (Monet Painting),train,trainA/00004.jpg
00006,A (Monet Painting),train,trainA/00006.jpg
00007,A (Monet Painting),train,trainA/00007.jpg
00008,A (Monet Painting),train,trainA/00008.jpg
00009,A (Monet Painting),train,trainA/00009.jpg
00010,B (Photo),test,testB/00010.jpg
00011,A (Monet Painting),train,trainA/00011.jpg
00012,A (Monet Painting),train,trainA/00012.jpg
00014,A (Monet Painting),train,trainA/00014.jpg
00015,A (Monet Painting),train,trainA/00015.jpg
00016,A (Monet Painting),train,trainA/00016.jpg
00017,A (Monet Painting),train,trainA/00017.jpg
00018,A (Monet Painting),train,trainA/00018.jpg
00019,A (Monet Painting),train,trainA/00019.jpg
00020,B (Photo),test,testB/00020.jpg
00021,A (Monet Painting),train,trainA/00021.jpg
00022,A (Monet Painting),train,trainA/00022.jpg
00023,A (Monet Painting),train,trainA/00023.jpg
00024,A (Monet Painting),train,trainA/00024.jpg
00025,A (Monet Painting),train,trainA/00025.jpg
00026,A (Monet Painting),train,trainA/00026.jpg
00027,A (Monet Painting),train,trainA/00027.jpg
00028,A (Monet Painting),train,trainA/00028.jpg
00029,A (Monet Painting),train,trainA/00029.jpg
00030,B (Photo),test,testB/00030.jpg
00031,A (Monet Painting),train,trainA/00031.jpg
00032,A (Monet Painting),train,trainA/00032.jpg
00033,A (Monet Painting),train,trainA/00033.jpg
00034,A (Monet Painting),train,trainA/00034.jpg
00035,A (Monet Painting),train,trainA/00035.jpg
00036,A (Monet Painting),train,trainA/00036.jpg
00037,A (Monet Painting),train,trainA/00037.jpg
00038,A (Monet Painting),train,trainA/00038.jpg
00040,B (Photo),test,testB/00040.jpg
00041,A (Monet Painting),train,trainA/00041.jpg
00042,A (Monet Painting),train,trainA/00042.jpg
00043,A (Monet Painting),train,trainA/00043.jpg
00044,A (Monet Painting),train,trainA/00044.jpg
00045,A (Monet Painting),train,trainA/00045.jpg
00046,A (Monet Painting),train,trainA/00046.jpg
00047,A (Monet Painting),train,trainA/00047.jpg
00048,A (Monet Painting),train,trainA/00048.jpg
00049,A (Monet Painting),train,trainA/00049.jpg
00050,B (Photo),test,testB/00050.jpg
00052,A (Monet Painting),train,trainA/00052.jpg
00053,A (Monet Painting),train,trainA/00053.jpg
00054,A (Monet Painting),train,trainA/00054.jpg
00056,A (Monet Painting),train,trainA/00056.jpg
00057,A (Monet Painting),train,trainA/00057.jpg
00058,A (Monet Painting),train,trainA/00058.jpg
00059,A (Monet Painting),train,trainA/00059.jpg
00060,B (Photo),test,testB/00060.jpg
00062,A (Monet Painting),train,trainA/00062.jpg
00063,A (Monet Painting),train,trainA/00063.jpg
00064,A (Monet Painting),train,trainA/00064.jpg
00065,A (Monet Painting),train,trainA/00065.jpg
00066,A (Monet Painting),train,trainA/00066.jpg
00067,A (Monet Painting),train,trainA/00067.jpg
00068,A (Monet Painting),train,trainA/00068.jpg
00069,A (Monet Painting),train,trainA/00069.jpg
00070,B (Photo),test,testB/00070.jpg
00071,A (Monet Painting),train,trainA/00071.jpg
00072,A (Monet Painting),train,trainA/00072.jpg
00073,A (Monet Painting),train,trainA/00073.jpg
00074,A (Monet Painting),train,trainA/00074.jpg
00075,A (Monet Painting),train,trainA/00075.jpg
00076,A (Monet Painting),train,trainA/00076.jpg
00077,A (Monet Painting),train,trainA/00077.jpg
00078,A (Monet Painting),train,trainA/00078.jpg
00079,A (Monet Painting),train,trainA/00079.jpg
00080,B (Photo),test,testB/00080.jpg
00081,A (Monet Painting),train,trainA/00081.jpg
00082,A (Monet Painting),train,trainA/00082.jpg
00083,A (Monet Painting),train,trainA/00083.jpg
00089,A (Monet Painting),train,trainA/00089.jpg
00090,B (Photo),test,testB/00090.jpg
00091,A (Monet Painting),train,trainA/00091.jpg
00092,A (Monet Painting),train,trainA/00092.jpg
00093,A (Monet Painting),train,trainA/00093.jpg
00094,A (Monet Painting),train,trainA/00094.jpg
00096,A (Monet Painting),train,trainA/00096.jpg
00100,B (Photo),test,testB/00100.jpg
00108,A (Monet Painting),train,trainA/00108.jpg
00109,A (Monet Painting),train,trainA/00109.jpg
00110,B (Photo),test,testB/00110.jpg
00111,A (Monet Painting),train,trainA/00111.jpg
00112,A (Monet Painting),train,trainA/00112.jpg
00113,A (Monet Painting),train,trainA/00113.jpg
00114,A (Monet Painting),train,trainA/00114.jpg
00115,A (Monet Painting),train,trainA/00115.jpg
00116,A (Monet Painting),train,trainA/00116.jpg
00117,A (Monet Painting),train,trainA/00117.jpg
00118,A (Monet Painting),train,trainA/00118.jpg
00119,A (Monet Painting),train,trainA/00119.jpg
00120,B (Photo),test,testB/00120.jpg
00121,A (Monet Painting),train,trainA/00121.jpg
00122,A (Monet Painting),train,trainA/00122.jpg
00123,A (Monet Painting),train,trainA/00123.jpg
00124,A (Monet Painting),train,trainA/00124.jpg
00125,A (Monet Painting),train,trainA/00125.jpg
00126,A (Monet Painting),train,trainA/00126.jpg
00127,A (Monet Painting),train,trainA/00127.jpg
00128,A (Monet Painting),train,trainA/00128.jpg
00129,A (Monet Painting),train,trainA/00129.jpg
00130,B (Photo),test,testB/00130.jpg
00136,A (Monet Painting),train,trainA/00136.jpg
00137,A (Monet Painting),train,trainA/00137.jpg
00139,A (Monet Painting),train,trainA/00139.jpg
00140,B (Photo),test,testB/00140.jpg
00141,A (Monet Painting),train,trainA/00141.jpg
00142,A (Monet Painting),train,trainA/00142.jpg
00143,A (Monet Painting),train,trainA/00143.jpg
00144,A (Monet Painting),train,trainA/00144.jpg
00145,A (Monet Painting),train,trainA/00145.jpg
00146,A (Monet Painting),train,trainA/00146.jpg
00147,A (Monet Painting),train,trainA/00147.jpg
00148,A (Monet Painting),train,trainA/00148.jpg
00149,A (Monet Painting),train,trainA/00149.jpg
00150,B (Photo),test,testB/00150.jpg
00151,A (Monet Painting),train,trainA/00151.jpg
00152,A (Monet Painting),train,trainA/00152.jpg
00153,A (Monet Painting),train,trainA/00153.jpg
00154,A (Monet Painting),train,trainA/00154.jpg
00155,A (Monet Painting),train,trainA/00155.jpg
00156,A (Monet Painting),train,trainA/00156.jpg
00157,A (Monet Painting),train,trainA/00157.jpg
00158,A (Monet Painting),train,trainA/00158.jpg
00159,A (Monet Painting),train,trainA/00159.jpg
00160,B (Photo),test,testB/00160.jpg
00161,A (Monet Painting),train,trainA/00161.jpg
00162,A (Monet Painting),train,trainA/00162.jpg
00163,A (Monet Painting),train,trainA/00163.jpg
00164,A (Monet Painting),train,trainA/00164.jpg
00165,A (Monet Painting),train,trainA/00165.jpg
00166,A (Monet Painting),train,trainA/00166.jpg
00167,A (Monet Painting),train,trainA/00167.jpg
00168,A (Monet Painting),train,trainA/00168.jpg
00169,A (Monet Painting),train,trainA/00169.jpg
00170,B (Photo),test,testB/00170.jpg
00171,A (Monet Painting),train,trainA/00171.jpg
00172,A (Monet Painting),train,trainA/00172.jpg
00173,A (Monet Painting),train,trainA/00173.jpg
00175,A (Monet Painting),train,trainA/00175.jpg
00176,A (Monet Painting),train,trainA/00176.jpg
00177,A (Monet Painting),train,trainA/00177.jpg
00178,A (Monet Painting),train,trainA/00178.jpg
00179,A (Monet Painting),train,trainA/00179.jpg
00180,B (Photo),test,testB/00180.jpg
00184,A (Monet Painting),train,trainA/00184.jpg
00185,A (Monet Painting),train,trainA/00185.jpg
00186,A (Monet Painting),train,trainA/00186.jpg
00187,A (Monet Painting),train,trainA/00187.jpg
00188,A (Monet Painting),train,trainA/00188.jpg
00189,A (Monet Painting),train,trainA/00189.jpg
00190,B (Photo),test,testB/00190.jpg
00191,A (Monet Painting),train,trainA/00191.jpg
00192,A (Monet Painting),train,trainA/00192.jpg
00193,A (Monet Painting),train,trainA/00193.jpg
00194,A (Monet Painting),train,trainA/00194.jpg
00195,A (Monet Painting),train,trainA/00195.jpg
00196,A (Monet Painting),train,trainA/00196.jpg
00197,A (Monet Painting),train,trainA/00197.jpg
00198,A (Monet Painting),train,trainA/00198.jpg
00199,A (Monet Painting),train,trainA/00199.jpg
